East,North,-101_count
558262.600134105,6122104.324010043,4.0
558260.9811750564,6122093.688561393,12.0
558262.8613615469,6122125.98036031,8.0
558262.4556076415,6122147.627946719,4.0
558262.4737926584,6122137.01400996,16.0
558262.2373338824,6122168.853430387,8.0
558261.8669941219,6122210.880702661,4.0
558261.9150164208,6122221.070943524,8.0
558261.8589872079,6122262.253215219,4.0
558262.1267454453,6122241.877513063,12.0
558262.078725422,6122231.687271888,12.0
558261.9322337081,6122252.064567289,8.0
558262.4628579849,6122313.209205611,8.0
558262.4446599238,6122323.8231450515,8.0
558262.3107764658,6122334.010997236,4.0
558261.8247151221,6122375.61219199,8.0
558261.7388384228,6122395.99028839,4.0
558261.6912755832,6122418.067157745,4.0
558261.3446686418,6122449.056009584,20.0
558260.8273279566,6122479.193484581,12.0
558248.5229319279,6122492.617951131,4.0
558238.1441511114,6122493.33073014,4.0
558206.1924608967,6122492.911104367,16.0
558217.0395480094,6122493.478101939,4.0
558195.1084262605,6122491.916455812,12.0
558132.4899784595,6122485.57553313,12.0
558184.8731990643,6122490.932975339,4.0
558174.4560794835,6122489.947131719,16.0
558163.9783262954,6122488.960517138,12.0
558143.0283747031,6122486.562868358,12.0
558153.5667667349,6122487.550228662,8.0
558121.8965138211,6122484.162934073,36.0
558111.3581081287,6122483.175649147,4.0
558090.3474759444,6122480.777454925,12.0
558100.8252615215,6122481.763895258,16.0
558080.0515748695,6122479.793422318,12.0
558053.3649984096,6122466.282308761,20.0
558060.1711609934,6122474.438210765,20.0
558050.8913226576,6122456.0603125375,4.0
558050.6786459374,6122435.253752804,24.0
558069.4636423797,6122477.956454699,8.0
558052.6486603918,6122414.4757746095,12.0
558051.9033932455,6122425.08018622,4.0
558050.1208338288,6122445.436052643,36.0
558053.7092290714,6122393.685888574,12.0
558053.2726690792,6122403.869775381,12.0
558054.2175384852,6122382.65380788,8.0
558055.7313590695,6122350.406555075,8.0
558055.1735310272,6122360.588853183,4.0
558056.791947745,6122329.616671526,4.0
558056.2947476817,6122339.799763198,16.0
558057.3002669809,6122318.58459211,12.0
558057.8085878527,6122307.552512912,8.0
558059.400783273,6122264.69212203,20.0
558059.2618100465,6122275.304470498,12.0
558058.4988065633,6122296.522815924,12.0
558058.880307806,6122285.913643126,4.0
558059.4129321325,6122254.502679629,4.0
558055.2308589243,6122189.489211211,4.0
558058.4641085197,6122211.184450146,12.0
558059.5089784063,6122233.275601451,8.0
558059.4195213947,6122244.737731304,16.0
558051.9809001759,6122169.067457148,8.0
558040.170228054,6122098.4347744705,28.0
558121.0414693261,6122091.427377328,4.0
558069.2592813878,6122090.748889766,4.0
558100.5468802113,6122091.158770119,4.0
558110.9760794862,6122091.295445972,4.0
558142.9362265489,6122091.289873395,8.0
558164.527812801,6122091.148500403,12.0
558153.7348030634,6122091.006926871,4.0
558196.0196044141,6122089.863465687,4.0
558185.5848298258,6122090.1510835625,20.0
558206.5150157438,6122089.576668363,4.0
558227.6821739766,6122089.430030834,12.0
558216.7072543353,6122089.285915156,20.0
558175.144487387,6122090.863219732,12.0
558247.2003320975,6122094.781201629,4.0
558253.0254263867,6122103.773636531,4.0
558255.4382268722,6122113.994945334,8.0
558256.1420961315,6122125.0429355595,12.0
558255.8081642411,6122145.842331555,8.0
558256.0632928698,6122135.656075367,20.0
558255.2518506243,6122178.951250287,12.0
558255.1786237583,6122189.139897162,8.0
558254.844691381,6122209.939295096,8.0
558253.8862576403,6122241.344665065,12.0
558253.6199771625,6122252.379910458,4.0
558254.3400150384,6122229.887316074,8.0
558253.0323625831,6122274.025111321,4.0
558253.6341611898,6122338.991787768,12.0
558253.7791802416,6122327.954947684,4.0
558253.9848309229,6122316.918904448,8.0
558253.6104046678,6122350.03022137,4.0
558253.5628892814,6122372.1070890995,8.0
558253.5866473647,6122361.068655147,12.0
558253.5284795923,6122416.261623335,24.0
558253.7210231177,6122383.14791325,8.0
558253.636632272,6122394.185550879,28.0
558253.5522409481,6122405.223188681,4.0
558253.3228265678,6122427.297668137,8.0
558252.6690009192,6122449.3665716015,8.0
558252.8746530884,6122438.330526435,12.0
558252.4138745682,6122459.552832433,12.0
558252.0981189088,6122469.73829676,4.0
558233.2917548927,6122470.340359538,16.0
558235.026296099,6122481.4018911,4.0
558233.249264201,6122459.72562177,12.0
558250.3272541037,6122479.904641704,4.0
558233.5336364837,6122438.076431203,12.0
558233.9448448921,6122416.004340221,12.0
558233.9567561705,6122373.547782618,20.0
558233.9574056845,6122405.81489358,12.0
558233.9149109181,6122395.20015679,12.0
558234.3735380063,6122351.051199802,12.0
558234.2285661323,6122362.088040584,12.0
558234.4153788671,6122329.398826988,32.0
558234.7603763278,6122307.750436897,8.0
558234.3366152393,6122340.011969974,24.0
558234.6209813993,6122318.362783132,48.0
558233.8117842387,6122384.584623759,24.0
558235.0022387963,6122275.486516087,44.0
558235.0203675979,6122264.872577684,68.0
558234.8572690359,6122286.523355669,24.0
558234.7785069435,6122297.136497992,24.0
558234.9172303348,6122254.257046615,44.0
